quality,color,clarity,price,weight_ES,depth_percent_ES,table_percent_ES,volume_ES
3,6,1,6.353,-0.6249999999999999,0.35714285714285715,0.3333333333333346,-0.591766614729216
4,5,5,9.183,0.48437500000000006,0.5714285714285714,-0.3333333333333309,0.5506371481039086
4,4,3,7.983,0.03125000000000003,-0.07142857142857142,0.6666666666666692,0.052268856354968626
2,3,1,8.371,0.5937500000000002,0.9285714285714286,0.0,0.6240426635842068
3,3,4,6.588,-0.5312499999999999,0.2857142857142857,0.6666666666666692,-0.5114687800001846
4,4,4,7.496,-0.2656249999999999,-0.35714285714285715,0.0,-0.23884997104971395
3,2,2,8.979,1.625,0.14285714285714285,0.6666666666666692,1.631387014301201
4,5,5,6.877,-0.5781249999999999,-1.3571428571428572,-0.3333333333333309,-0.52648946380572
2,5,3,6.554,-0.5937499999999999,0.7142857142857143,-0.3333333333333309,-0.560828960484697
4,5,5,6.683,-0.6718749999999999,-0.07142857142857142,0.0,-0.6455534073786985
4,6,2,7.484,-0.10937499999999992,-0.5714285714285714,-0.3333333333333309,-0.05999902389986826
4,3,3,6.353,-0.6093749999999999,-0.35714285714285715,-0.3333333333333309,-0.5801479861425509
4,4,4,7.554,-0.2656249999999999,0.07142857142857142,-0.6666666666666654,-0.23848282121799536
2,2,4,7.671,0.0,0.21428571428571427,0.0,0.04052489774935173
2,2,2,7.794,0.06250000000000006,0.35714285714285715,0.3333333333333346,0.06890329714476545
2,1,3,8.727,0.9218750000000001,0.6428571428571429,0.3333333333333346,0.9343579528251538
4,6,2,8.087,0.015625000000000014,0.07142857142857142,-0.6666666666666654,0.06254112058771177
4,3,2,6.23,-0.5937499999999999,0.2857142857142857,0.0,-0.5580318900385871
4,3,4,7.451,-0.2812499999999999,-0.21428571428571427,-0.3333333333333309,-0.23303824842371285
3,3,6,7.072,-0.43749999999999994,-1.8571428571428572,0.6666666666666692,-0.3913927950733681
3,5,1,8.445,0.5625000000000001,-0.14285714285714285,1.6666666666666727,0.5829269118814863
4,1,6,7.365,-0.1875,0.2857142857142857,-1.3333333333333346,-0.1257949045329196
4,3,7,6.76,-0.6249999999999999,0.07142857142857142,-0.6666666666666654,-0.5798693449544061
4,4,6,7.911,-0.2968749999999999,-0.35714285714285715,-0.3333333333333309,-0.2535805039647929
4,3,7,7.266,-0.45312499999999994,0.2857142857142857,-0.6666666666666654,-0.41770484503917166
4,5,4,7.074,-0.43749999999999994,-0.21428571428571427,0.0,-0.40256629801315874
3,2,1,8.456,0.6562500000000002,0.0,0.3333333333333346,0.7318436960760776
3,1,2,8.606,0.8125,0.14285714285714285,0.6666666666666692,0.8430782952239029
2,2,2,7.033,-0.31249999999999994,-0.7142857142857143,1.3333333333333384,-0.2860721517897223
3,3,2,6.385,-0.6093749999999999,0.35714285714285715,-0.6666666666666654,-0.5814450618889271
4,6,3,7.633,-0.21874999999999983,-0.2857142857142857,0.0,-0.1825744519118451
4,2,1,6.04,-0.5937499999999999,0.0,-1.0,-0.5455935965510049
4,0,2,7.525,0.03125000000000003,-0.14285714285714285,-0.3333333333333309,0.08761711557342768
2,2,2,8.573,0.5937500000000002,1.0714285714285714,0.0,0.6348845710332011
1,6,2,6.347,-0.6093749999999999,0.8571428571428571,0.0,-0.5812309233938204
4,3,7,6.852,-0.5781249999999999,0.0,-0.6666666666666654,-0.5444020038411072
4,5,1,7.631,0.0,0.07142857142857142,-0.3333333333333309,0.055438899188083965
4,6,3,7.025,-0.5156249999999999,-0.42857142857142855,-0.3333333333333309,-0.48570232861202167
4,5,6,6.797,-0.6249999999999999,-0.35714285714285715,-0.3333333333333309,-0.5812765076181853
2,0,2,9.09,1.5625,0.0,0.6666666666666692,1.571710890747274
4,1,3,6.356,-0.5937499999999999,0.7857142857142857,-0.6666666666666654,-0.5631642694116841
3,5,4,7.866,-0.24999999999999986,0.5714285714285714,1.0000000000000038,-0.25605552520261193
4,3,4,6.579,-0.5624999999999999,-0.9285714285714286,0.0,-0.5205063143194086
4,2,2,8.971,0.8125,0.0,-0.6666666666666654,0.8515016176644794
2,6,4,8.179,0.0,-0.5,-0.3333333333333309,0.03568215664971757
3,4,2,8.837,0.8125,-0.07142857142857142,0.6666666666666692,0.8469863130875799
3,6,2,9.412,1.4218750000000002,-2.0714285714285716,1.0000000000000038,1.4761328139175551
2,5,3,8.115,0.015625000000000014,0.42857142857142855,0.3333333333333346,0.0558503371936548
2,1,2,5.961,-0.5937499999999999,0.35714285714285715,0.3333333333333346,-0.5417802677508823
4,5,2,7.483,-0.24999999999999986,-0.2857142857142857,-0.6666666666666654,-0.20885982644993858
4,1,1,8.094,0.46875000000000006,0.42857142857142855,-0.3333333333333309,0.48960682586087306
3,3,4,6.654,-0.6249999999999999,-0.07142857142857142,1.0000000000000038,-0.5931223996293995
2,4,1,8.302,0.46875000000000006,1.0714285714285714,-0.6666666666666654,0.49287732228071685
4,5,7,7.268,-0.4999999999999999,0.5714285714285714,-0.6666666666666654,-0.46398867553619194
4,5,3,6.931,-0.43749999999999994,0.14285714285714285,-0.3333333333333309,-0.41221819896333023
4,5,2,7.93,0.06250000000000006,-0.14285714285714285,-0.3333333333333309,0.106195815900164
4,4,2,7.71,0.0,0.0,0.0,0.04123244460892851
1,6,1,7.261,-0.14062499999999994,-1.5,1.6666666666666727,-0.10561176137597739
4,4,0,8.384,0.796875,0.07142857142857142,-0.3333333333333309,0.8330023729717675
4,3,2,8.936,0.9062500000000001,0.21428571428571427,-0.3333333333333309,0.9320214058797669
2,3,2,8.976,0.8750000000000001,1.0,0.3333333333333346,0.9054570903209475
3,6,4,7.09,-0.4687499999999999,0.42857142857142855,1.0000000000000038,-0.4466040052680782
3,2,6,6.528,-0.6249999999999999,0.5714285714285714,0.6666666666666692,-0.585952416066415
4,1,6,6.564,-0.6249999999999999,-0.42857142857142855,0.0,-0.590491010864463
4,5,1,8.039,0.17187500000000014,0.14285714285714285,-0.6666666666666654,0.2012520292862536
4,5,3,6.554,-0.5937499999999999,0.5714285714285714,-0.6666666666666654,-0.5638356816092138
4,3,4,7.432,-0.2968749999999999,0.35714285714285715,0.0,-0.262699911922729
4,6,4,8.384,0.09375000000000008,-0.14285714285714285,-0.3333333333333309,0.12702168404702602
3,3,2,6.898,-0.40624999999999994,-0.6428571428571429,1.0000000000000038,-0.3741733519015463
4,6,4,8.195,0.03125000000000003,-0.35714285714285715,-0.3333333333333309,0.09563822711432035
4,6,1,8.469,0.5156250000000001,0.6428571428571429,-0.3333333333333309,0.5571789340491344
3,3,2,7.406,-0.15624999999999997,-0.07142857142857142,1.0000000000000038,-0.14221729598365979
2,3,2,7.73,0.0,0.7857142857142857,0.6666666666666692,0.03118010273850388
2,3,6,9.133,0.6250000000000002,-0.35714285714285715,1.0000000000000038,0.6603791903344187
4,4,4,6.594,-0.6249999999999999,-0.42857142857142855,-0.6666666666666654,-0.5853423824998674
3,3,6,9.09,0.6718749999999999,-1.8571428571428572,0.6666666666666692,0.7573266122346081
4,6,2,7.364,-0.21874999999999983,0.2857142857142857,0.0,-0.19819646446705402
3,1,4,7.834,0.1093750000000001,0.5,-0.6666666666666654,0.15856708926166782
3,1,3,7.072,-0.2968749999999999,0.7142857142857143,-0.6666666666666654,-0.2624015688323919
4,3,6,6.959,-0.5312499999999999,0.6428571428571429,0.0,-0.5030193044209099
4,5,5,9.568,0.8750000000000001,-0.5714285714285714,0.0,0.947968243512648
3,2,7,6.918,-0.5781249999999999,-0.14285714285714285,0.6666666666666692,-0.5474923105516545
2,1,2,6.974,-0.2968749999999999,1.1428571428571428,-0.6666666666666654,-0.26055368129026935
3,4,3,6.687,-0.6093749999999999,0.7142857142857143,0.6666666666666692,-0.5882087046002215
2,2,2,7.726,0.015625000000000014,-0.8571428571428571,1.0000000000000038,0.044162118432089524
3,5,2,6.669,-0.546875,-0.5714285714285714,0.6666666666666692,-0.520164892057563
4,3,6,6.649,-0.6093749999999999,-0.35714285714285715,0.0,-0.5726498696714821
3,1,4,6.41,-0.6249999999999999,-0.21428571428571427,1.0000000000000038,-0.6010941548586153
4,6,3,7.621,-0.24999999999999986,-0.07142857142857142,-0.3333333333333309,-0.20948127299861005
4,1,3,6.515,-0.4999999999999999,-0.35714285714285715,-0.6666666666666654,-0.4632489498702366
2,4,6,9.231,0.5937500000000002,-0.6428571428571429,0.3333333333333346,0.6450891311347
4,2,6,9.078,0.9062500000000001,-0.14285714285714285,-0.6666666666666654,0.9668587310357823
4,3,2,8.585,0.5937500000000002,-0.07142857142857142,-0.3333333333333309,0.6225022978782139
3,0,4,9.131,1.25,0.6428571428571429,0.6666666666666692,1.2367409196573256
2,6,5,6.962,-0.4843749999999999,-0.35714285714285715,0.6666666666666692,-0.44984454744585606
2,2,2,8.382,0.48437500000000006,0.5,0.3333333333333346,0.5096923203165238
